EXAMPLE                                   STATUS        NOTES
----------------------------------------  ------------  ----------------------------------------
blank                                     PASS          
stickersmash                              PASS          
with-apollo                               PASS          
with-auth0                                PASS          
with-aws-storage-upload                   PASS          
with-better-auth                          PASS          
with-camera                               PASS          
with-clerk                                PASS          
with-convex                               PASS          
with-custom-font                          PASS          
with-drawer-navigation                    PASS          
with-facebook-auth                        PASS          
with-firebase-saml-login                  PASS          
with-firebase-storage-upload              PASS          
with-formdata-image-upload                PASS          
with-github-remote-build-cache-provider   PASS          
with-google-vision                        PASS          
with-graphql                              PASS          
with-html                                 PASS          
with-icons                                PASS          
with-legend-state-supabase                PASS          
with-libsql                               PASS          
with-maestro                              PASS          
with-magic                                PASS          
with-maps                                 PASS          
with-moti                                 PASS          
with-nextjs                               PASS          
with-openai                               PASS          
with-pdf                                  PASS          
with-processing                           PASS          
with-react-compiler                       PASS          
with-react-flow                           PASS          
with-react-navigation                     PASS          
with-react-router                         PASS          
with-react-strict-dom                     PASS          
with-react-three-fiber                    PASS          
with-reanimated                           PASS          
with-router-ai                            PASS          
with-router-menus                         PASS          
with-router-tv                            PASS          
with-router-uniwind                       PASS          
with-router                               SKIPPED       no App / index / app entry
with-rsc                                  PASS          
with-s3                                   PASS          
with-satori                               PASS          
with-sentry                               PASS          
with-shadcn                               PASS          
with-skia                                 PASS          
with-socket-io                            PASS          
with-splash-screen                        PASS          
with-sqlite                               PASS          
with-storybook                            PASS          
with-stripe                               PASS          
with-styled-components                    PASS          
with-svg                                  PASS          
with-tailwindcss                          PASS          
with-tfjs-camera                          PASS          
with-three                                PASS          
with-tinybase                             PASS          
with-tv                                   PASS          
with-typescript                           PASS          
with-victory-native                       PASS          
with-video-background                     PASS          
with-webbrowser-redirect                  PASS          
with-webgpu                               PASS          
with-webrtc                               PASS          
with-workbox                              PASS          
with-yarn-workspaces                      SKIPPED       no App / index / app entry
with-zustand                              PASS          

TOTALS: 69 examples
  PASS        : 67
  BUNDLE_FAIL : 0
  BOOT_FAIL   : 0
  SKIPPED     : 2
